"CPI Non-standard All Groups Less/Plus Selected Groupings for New Zealand (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","All groups less credit services subgroup","All groups less central and local government charges","All groups plus interest","All groups less food group","All groups less alcoholic beverages and tobacco group","All groups less clothing and footwear group","All groups less housing and household utilities group","All groups less household contents and services group","All groups less health group","All groups less transport group","All groups less communication group","All groups less recreation and culture group","All groups less education group","All groups less miscellaneous goods and services group","All groups less housing and household utilities group and credit services subgroup","All groups less purchasing of new housing class","All groups less household energy subgroup and vehicles fuels","All groups less vehicle fuels","All groups less food group and vehicle fuels","All groups less petrol class","All groups less food group, household energy subgroup and vehicle fuels","All groups less International travel","All groups less alcoholic beverages subgroup","All groups less cigarettes and tobacco subgroup","All groups less rentals for housing subgroup","All groups less food group, household energy subgroup, vehicle fuels, & government charges"
"2006Q2",814.332248,829.187396,859.845228,828.500414,832.639467,807.754443,856.898029,807.102502,818.330606,797.448166,801.282051,794.912560,818.330606,818.330606,856.164384,825.082508,819.672131,811.688312,824.402308,812.347685,835.421888,809.716599,814.332248,832.639467,819.000819,846.023689
"2006Q3",820.032573,834.991708,865.004299,831.814416,837.635304,813.408724,860.325621,811.945117,824.058920,806.220096,806.891026,800.476948,824.058920,824.058920,859.589041,830.033003,825.409836,818.181818,828.524320,818.034119,838.763576,815.384615,819.218241,838.467943,824.733825,849.407783
"2006Q4",818.403909,833.333333,863.284609,829.328915,835.970025,812.600969,856.041131,811.138015,823.240589,811.004785,805.288462,798.092210,822.422259,821.603928,855.308219,828.382838,831.967213,823.863636,835.119538,823.720552,845.446951,812.145749,817.589577,836.802664,823.095823,857.021997
"2007Q1",822.475570,836.650083,867.583835,831.814416,839.300583,816.639742,859.468723,815.980630,826.513912,815.789474,809.294872,802.861685,825.695581,825.695581,858.732877,831.683168,835.245902,827.922078,838.417148,827.782291,847.953216,817.004049,821.661238,840.133222,826.371826,859.560068
"2007Q2",830.618893,844.112769,876.182287,840.927920,847.626978,824.717286,867.180805,823.244552,833.878887,821.371611,817.307692,812.400636,833.878887,833.878887,866.438356,839.933993,840.163934,832.792208,843.363561,832.656377,852.965748,825.910931,829.804560,848.459617,834.561835,863.790186
"2007Q3",835.504886,849.917081,883.061049,844.241922,851.790175,829.563813,868.894602,828.087167,840.425532,826.156300,822.115385,817.170111,839.607201,837.970540,868.150685,844.059406,843.442623,836.850649,845.836768,837.530463,854.636591,829.959514,833.876221,853.455454,839.475839,867.174281
"2007Q4",845.276873,859.867330,893.379192,853.355427,862.614488,839.256866,879.177378,838.579500,850.245499,832.535885,832.532051,826.709062,850.245499,848.608838,879.280822,853.135314,850.819672,844.967532,852.431987,844.841592,861.319967,837.246964,843.648208,863.447127,849.303849,873.942470
"2008Q1",850.977199,865.671642,900.257954,857.497929,868.442964,845.718901,885.175664,845.036320,856.792144,838.118022,838.141026,834.658188,855.155483,854.337152,884.417808,859.735974,854.918033,849.025974,854.080791,849.715678,862.155388,845.344130,850.162866,869.275604,855.036855,874.788494
"2008Q2",864.006515,879.767828,914.015477,869.925435,882.597835,859.450727,899.742931,858.757062,870.703764,845.295056,851.762821,848.966614,869.067103,868.248773,898.972603,872.937294,861.475410,856.331169,858.202803,857.839155,865.497076,858.299595,864.006515,882.597835,868.959869,877.326565
"2008Q3",877.850163,892.205638,927.773001,879.038940,896.752706,873.182553,913.453299,872.477805,883.797054,858.054226,865.384615,863.275040,882.978723,882.160393,913.527397,886.963696,872.950820,867.694805,865.622424,869.212023,872.180451,870.445344,877.035831,896.752706,882.882883,882.402707
"2008Q4",872.964169,886.401327,923.473775,870.753935,891.756869,868.336026,905.741217,867.635190,878.887070,865.231260,861.378205,856.915739,878.068740,877.250409,905.821918,882.013201,881.147541,875.811688,873.042045,876.523152,878.863826,864.777328,872.149837,892.589509,877.968878,889.170897
"2009Q1",875.407166,888.059701,920.034394,871.582436,893.422148,871.567044,908.311911,870.056497,881.342062,870.813397,863.782051,860.095390,879.705401,878.887070,908.390411,884.488449,884.426230,879.870130,874.690849,878.960195,880.534670,870.445344,874.592834,894.254788,880.425880,890.862944
"2009Q2",881.107492,893.034826,919.174549,875.724938,898.417985,875.605816,914.310197,874.899112,886.252046,875.598086,868.589744,866.454690,885.433715,883.797054,914.383562,890.264026,888.524590,883.928571,877.988458,883.021933,883.876358,879.352227,879.478827,899.250624,886.158886,893.401015
"2009Q3",891.693811,902.985075,925.193465,885.666943,909.242298,887.722132,927.163668,886.198547,896.890344,883.572568,879.807692,877.583466,896.072013,895.253682,927.226027,901.815182,899.180328,894.480519,887.056884,893.582453,893.901420,888.259109,890.065147,910.907577,897.624898,901.015228
"2009Q4",890.879479,901.326700,920.034394,888.980944,908.409659,885.298869,924.592973,885.391445,895.253682,879.585327,879.006410,875.993641,895.253682,893.617021,925.513699,900.165017,898.360656,893.668831,891.178895,892.770106,898.078530,884.210526,889.250814,910.074938,895.986896,905.245347
"2010Q1",894.136808,903.814262,920.894239,890.637945,910.907577,888.529887,928.020566,888.619855,898.527005,881.180223,882.211538,880.763116,896.890344,897.708674,928.938356,903.465347,898.360656,893.668831,889.530091,893.582453,895.572264,889.068826,891.693811,912.572856,899.262899,901.861252
"2010Q2",895.765472,905.472637,920.894239,894.780447,910.907577,890.145396,928.877464,891.041162,899.345336,883.572568,883.814103,883.147854,899.345336,899.345336,929.794521,905.115512,899.180328,894.480519,892.827700,894.394801,898.913952,890.688259,893.322476,912.572856,900.081900,905.245347
"2010Q3",906.351792,912.935323,931.212382,902.236951,920.066611,901.453958,939.160240,901.533495,909.983633,893.939394,894.230769,894.276630,909.165303,909.983633,940.068493,915.841584,909.836066,905.844156,901.896125,905.767669,906.432749,901.214575,903.094463,922.564530,911.547912,910.321489
"2010Q4",926.710098,934.494196,950.988822,923.777962,941.715237,923.263328,962.296487,922.518160,929.623568,910.685805,915.064103,913.354531,930.441899,931.260229,963.184932,936.468647,928.688525,924.512987,920.032976,924.451665,925.647452,919.838057,924.267101,943.380516,933.660934,928.934010
"2011Q1",934.853420,941.956882,957.867584,930.405965,947.543714,931.340872,971.722365,931.396287,937.806874,915.470494,923.076923,923.688394,937.806874,939.443535,972.602740,944.719472,931.967213,927.759740,920.857378,927.701056,926.482874,930.364372,932.410423,949.208993,941.850942,928.934010
"2011Q2",943.811075,951.077944,963.886500,939.519470,958.368027,940.226171,981.148243,940.274415,946.808511,921.850080,932.692308,933.227345,946.808511,948.445172,982.020548,953.795380,938.524590,934.253247,927.452597,935.824533,931.495405,938.461538,942.182410,959.200666,950.859951,934.856176
"2011Q3",947.068404,954.394693,965.606191,940.347970,960.865945,944.264943,983.718937,943.502825,950.081833,927.432217,937.500000,937.201908,950.081833,951.718494,984.589041,957.095710,944.262295,939.935065,930.750206,940.698619,934.837093,942.510121,945.439739,962.531224,954.135954,937.394247
"2011Q4",944.625407,951.077944,962.166810,941.176471,958.368027,941.033926,979.434447,941.888620,946.808511,921.850080,935.897436,934.022258,947.626841,948.445172,980.308219,954.620462,940.983607,936.688312,931.574608,937.449228,936.507937,938.461538,942.996743,960.033306,950.859951,938.240271
"2012Q1",948.697068,955.223881,965.606191,946.975973,960.033306,945.880452,983.718937,945.924132,951.718494,926.634769,940.705128,941.971383,951.718494,952.536825,984.589041,958.745875,944.262295,939.935065,934.872218,940.698619,940.685046,945.748988,946.254072,961.698585,954.954955,941.624365
"2012Q2",951.954397,956.882255,967.325881,950.289975,962.531224,949.111470,984.575835,949.152542,954.991817,929.824561,944.711538,945.151033,954.991817,954.991817,985.445205,962.046205,945.901639,943.181818,938.994229,943.948010,942.355890,948.178138,949.511401,965.029142,958.230958,943.316413
"2012Q3",955.211726,958.540630,969.045572,951.118476,965.861782,952.342488,986.289632,952.380952,957.446809,934.609250,947.916667,948.330684,957.446809,957.446809,986.301370,964.521452,949.180328,946.428571,940.643034,947.197400,944.026734,950.607287,951.954397,967.527061,960.687961,943.316413
"2012Q4",953.583062,956.882255,966.466036,953.603977,964.196503,950.726979,982.005141,951.573850,954.991817,932.216906,947.115385,946.740859,955.810147,955.810147,982.876712,962.871287,948.360656,945.616883,943.940643,946.385053,946.532999,947.368421,951.140065,965.861782,959.049959,946.700508
